identifier	date of composition	date of publication	annotator	not Latin? (put checkmark)	notes	URL	langid
thesaurustemporu00euse						https://archive.org/details//thesaurustemporu00euse	la
carolilinnaeiope00linn		1835				https://archive.org/details//carolilinnaeiope00linn	la
concordantiarum00flangoog		1868				https://archive.org/details//concordantiarum00flangoog	la
thesauruseruditi02fabe						https://archive.org/details//thesauruseruditi02fabe	la
tabvlaespeciale01zachgoog		1807				https://archive.org/details//tabvlaespeciale01zachgoog	la
lexiconarabicola03freyuoft		1830				https://archive.org/details//lexiconarabicola03freyuoft	la
titiliviipatavin00livy						https://archive.org/details//titiliviipatavin00livy	la
lexiconjuridicum00calv						https://archive.org/details//lexiconjuridicum00calv	la
robertistephanil01esti						https://archive.org/details//robertistephanil01esti	la
lexikonzudensch06merggoog		1877				https://archive.org/details//lexikonzudensch06merggoog	la
generasiphonogam00dalluoft		1900				https://archive.org/details//generasiphonogam00dalluoft	la
tlucretiicarider04lucruoft		1813				https://archive.org/details//tlucretiicarider04lucruoft	la
patrologiaecurs124unkngoog		1904				https://archive.org/details//patrologiaecurs124unkngoog	la
adjumentavariac00hagegoog		1876				https://archive.org/details//adjumentavariac00hagegoog	la
corpusiuriscivi00schogoog		1889				https://archive.org/details//corpusiuriscivi00schogoog	la
corpusjuriscivil01krueuoft						https://archive.org/details//corpusjuriscivil01krueuoft	la
lexiconarabicola01freyuoft		1830				https://archive.org/details//lexiconarabicola01freyuoft	la
lexiconhomericum01ebeluoft		1885				https://archive.org/details//lexiconhomericum01ebeluoft	la
commentariainpri04fagn		1729				https://archive.org/details//commentariainpri04fagn	la
tlucretiicaride00bentgoog		1813				https://archive.org/details//tlucretiicaride00bentgoog	la
monumentagerma00geseuoft						https://archive.org/details//monumentagerma00geseuoft	la
repertoriumbibl01haingoog		1826				https://archive.org/details//repertoriumbibl01haingoog	la
casparisklockiit00kloc		1671				https://archive.org/details//casparisklockiit00kloc	la
qhorativsflaccu01bondgoog						https://archive.org/details//qhorativsflaccu01bondgoog	la
dictionariumhist00esti						https://archive.org/details//dictionariumhist00esti	la
lexiconpoticuma00copegoog		1854				https://archive.org/details//lexiconpoticuma00copegoog	la
patrologiaecurs195unkngoog		1861				https://archive.org/details//patrologiaecurs195unkngoog	la
repertoriumbibl00haingoog		1831				https://archive.org/details//repertoriumbibl00haingoog	la
indicesgenerale02migngoog		1865				https://archive.org/details//indicesgenerale02migngoog	la
dictionariumhist1633esti						https://archive.org/details//dictionariumhist1633esti	la
monumentagerman05mittgoog		1884				https://archive.org/details//monumentagerman05mittgoog	la
suidaelexiconpos02kustuoft		1834				https://archive.org/details//suidaelexiconpos02kustuoft	la
patrologiaecurs25unkngoog		1899				https://archive.org/details//patrologiaecurs25unkngoog	la
novusapparatusgr00john						https://archive.org/details//novusapparatusgr00john	la
poetarumscenicor00dinduoft		1881				https://archive.org/details//poetarumscenicor00dinduoft	la
patrologiaecurs22goog		1878				https://archive.org/details//patrologiaecurs22goog	la
thesauruslitera01pritgoog		1877				https://archive.org/details//thesauruslitera01pritgoog	la
etymologicvmgra00sturgoog		1818				https://archive.org/details//etymologicvmgra00sturgoog	la
tabvlaespeciale00zachgoog		1806				https://archive.org/details//tabvlaespeciale00zachgoog	la
patrologiaecurs48unkngoog		1879				https://archive.org/details//patrologiaecurs48unkngoog	la
patrologiaecurs44unkngoog		1845				https://archive.org/details//patrologiaecurs44unkngoog	la
manualelatinitat00dirk		1837				https://archive.org/details//manualelatinitat00dirk	la
homeriquextant00home						https://archive.org/details//homeriquextant00home	la
hierarchiacathol01eubeuoft		1913				https://archive.org/details//hierarchiacathol01eubeuoft	la
patrologiaecurs35unkngoog		1893				https://archive.org/details//patrologiaecurs35unkngoog	la
indicesgenerale01migngoog		1862				https://archive.org/details//indicesgenerale01migngoog	la
nomenclatorlite10hurtgoog		1903				https://archive.org/details//nomenclatorlite10hurtgoog	la
synopsisplantaru04diet		1839				https://archive.org/details//synopsisplantaru04diet	la
patrologiaecurs53unkngoog		1885				https://archive.org/details//patrologiaecurs53unkngoog	la
synopsisplantar00steugoog		1855				https://archive.org/details//synopsisplantar00steugoog	la
corpusiuriscivi00beckgoog		1829				https://archive.org/details//corpusiuriscivi00beckgoog	la
patrologiaecurs47unkngoog		1847				https://archive.org/details//patrologiaecurs47unkngoog	la
carolili01linn		1788				https://archive.org/details//carolili01linn	la
lexiconlinguaeae00dilluoft		1865				https://archive.org/details//lexiconlinguaeae00dilluoft	la
monumentagerman09mittgoog		1920				https://archive.org/details//monumentagerman09mittgoog	la
lexiconsophocleu00elleuoft		1872				https://archive.org/details//lexiconsophocleu00elleuoft	la
bibliasacrajuxta00fill		1887				https://archive.org/details//bibliasacrajuxta00fill	la
patrologiaecurs41unkngoog		1891				https://archive.org/details//patrologiaecurs41unkngoog	la
dequindenniistra00lope		1721				https://archive.org/details//dequindenniistra00lope	la
patrologiaecurs23goog		1886				https://archive.org/details//patrologiaecurs23goog	la
iustinihistoria00freigoog		1760				https://archive.org/details//iustinihistoria00freigoog	la
patrologiaecurs13goog		1890				https://archive.org/details//patrologiaecurs13goog	la
indicesgenerale00migngoog		1863				https://archive.org/details//indicesgenerale00migngoog	la
monumentagerm01geseuoft						https://archive.org/details//monumentagerm01geseuoft	la
patrologiaecurs204unkngoog		1847				https://archive.org/details//patrologiaecurs204unkngoog	la
operaomniaquaeex06johnuoft						https://archive.org/details//operaomniaquaeex06johnuoft	la
patrologiaecurs169unkngoog		1844				https://archive.org/details//patrologiaecurs169unkngoog	la
patrologiaecurs67unkngoog		1890				https://archive.org/details//patrologiaecurs67unkngoog	la
patrologiaecurs93unkngoog		1880				https://archive.org/details//patrologiaecurs93unkngoog	la
patrologiaecurs134migngoog		1891				https://archive.org/details//patrologiaecurs134migngoog	la
opera00despgoog		1776				https://archive.org/details//opera00despgoog	la
commentariainpri01fagn		1729				https://archive.org/details//commentariainpri01fagn	la
opera01despgoog		1691				https://archive.org/details//opera01despgoog	la
patrologiaecurs122unkngoog		1880				https://archive.org/details//patrologiaecurs122unkngoog	la
sanctipatrisnos01chrygoog		1837				https://archive.org/details//sanctipatrisnos01chrygoog	la
patrologiaecurs218unkngoog		1893				https://archive.org/details//patrologiaecurs218unkngoog	la
synopsisplantaru01diet		1839				https://archive.org/details//synopsisplantaru01diet	la
patrologiaecurs25goog		1863				https://archive.org/details//patrologiaecurs25goog	la
patrologiaecursu93mignuoft		1857				https://archive.org/details//patrologiaecursu93mignuoft	la
patrologiaecurs12unkngoog		1891				https://archive.org/details//patrologiaecurs12unkngoog	la
patrologiaecurs185unkngoog		1845				https://archive.org/details//patrologiaecurs185unkngoog	la
almanachdantisa00tibbgoog		1908				https://archive.org/details//almanachdantisa00tibbgoog	la
patrologiaecurs96unkngoog		1880				https://archive.org/details//patrologiaecurs96unkngoog	la
patrologiaecurs13unkngoog		1902				https://archive.org/details//patrologiaecurs13unkngoog	la
lannaeifloriepi00dukegoog		1744				https://archive.org/details//lannaeifloriepi00dukegoog	la
patrologiaecurs210unkngoog		1845				https://archive.org/details//patrologiaecurs210unkngoog	la
qhoratiiflaccie00verbgoog		1826				https://archive.org/details//qhoratiiflaccie00verbgoog	la
patrologiaecurs51unkngoog		1879				https://archive.org/details//patrologiaecurs51unkngoog	la
patrologiaecurs30goog		1881				https://archive.org/details//patrologiaecurs30goog	la
sanctipatrisnos03chrygoog		1837				https://archive.org/details//sanctipatrisnos03chrygoog	la
patrologiaecurs17goog		1862				https://archive.org/details//patrologiaecurs17goog	la
quintihoratiifla00horauoft		1810				https://archive.org/details//quintihoratiifla00horauoft	la
novusthesaurusp00bielgoog		1829				https://archive.org/details//novusthesaurusp00bielgoog	la
patrologiaecurs136unkngoog		1862				https://archive.org/details//patrologiaecurs136unkngoog	la
martiniantonijde00delr		1619				https://archive.org/details//martiniantonijde00delr	la
nomenclatorlite08hurtgoog		1903				https://archive.org/details//nomenclatorlite08hurtgoog	la
qhoratiiflaccie03horagoog						https://archive.org/details//qhoratiiflaccie03horagoog	la
patrologiaecursu66mignuoft		1857				https://archive.org/details//patrologiaecursu66mignuoft	la
patrologiaecurs92unkngoog		1880				https://archive.org/details//patrologiaecurs92unkngoog	la
scholiagraecain02dbgoog		1843				https://archive.org/details//scholiagraecain02dbgoog	la
patrologiaecursu161mignuoft		1857				https://archive.org/details//patrologiaecursu161mignuoft	la
corpusglossario00leipgoog		1899				https://archive.org/details//corpusglossario00leipgoog	la
patrologiaecurs66unkngoog		1882				https://archive.org/details//patrologiaecurs66unkngoog	la
collegiisalmant00carmgoog		1870				https://archive.org/details//collegiisalmant00carmgoog	la
hierarchiacathol04eubeuoft		1913				https://archive.org/details//hierarchiacathol04eubeuoft	la
patrologiaecursu37mignuoft		1857				https://archive.org/details//patrologiaecursu37mignuoft	la
patrologiaecursu10mignuoft		1857				https://archive.org/details//patrologiaecursu10mignuoft	la
inscriptioneslat03dessuoft		1892				https://archive.org/details//inscriptioneslat03dessuoft	la
scholiagraecain00dbgoog		1877				https://archive.org/details//scholiagraecain00dbgoog	la
patrologiaecurs26unkngoog		1862				https://archive.org/details//patrologiaecurs26unkngoog	la
fragmentahistor01antgoog		1851				https://archive.org/details//fragmentahistor01antgoog	la
patrologiaecurs72unkngoog		1886				https://archive.org/details//patrologiaecurs72unkngoog	la
patrologiaecurs23unkngoog		1863				https://archive.org/details//patrologiaecurs23unkngoog	la
patrologiaecurs11goog		1894				https://archive.org/details//patrologiaecurs11goog	la
quintihoratiifl00dacigoog		1831				https://archive.org/details//quintihoratiifl00dacigoog	la
novumlexicongra03dickgoog		1817				https://archive.org/details//novumlexicongra03dickgoog	la
patrologiaecurs224unkngoog		1847				https://archive.org/details//patrologiaecurs224unkngoog	la
operaexrecensio00lucigoog		1842				https://archive.org/details//operaexrecensio00lucigoog	la
lexiconuniversa05rascgoog		1802				https://archive.org/details//lexiconuniversa05rascgoog	la
patrologiaecurs242unkngoog		1844				https://archive.org/details//patrologiaecurs242unkngoog	la
patrologiaecurs139migngoog		1844				https://archive.org/details//patrologiaecurs139migngoog	la
sixtipapdionysi00arnogoog		1844				https://archive.org/details//sixtipapdionysi00arnogoog	la
herodotihalicar05bhgoog		1856				https://archive.org/details//herodotihalicar05bhgoog	la
bibliothecagraec01fabruoft		1790				https://archive.org/details//bibliothecagraec01fabruoft	la
poetarumcomicor00hunzgoog		1855				https://archive.org/details//poetarumcomicor00hunzgoog	la
oratoresattici01hunzgoog		1858				https://archive.org/details//oratoresattici01hunzgoog	la
patrologiaecurs103unkngoog		1890				https://archive.org/details//patrologiaecurs103unkngoog	la
sanctipatrisnos02chrygoog		1836				https://archive.org/details//sanctipatrisnos02chrygoog	la
patrologiaecurs141migngoog		1854				https://archive.org/details//patrologiaecurs141migngoog	la
titiliviihistori00livy		1678				https://archive.org/details//titiliviihistori00livy	la
novumtestamentu00englgoog		1850				https://archive.org/details//novumtestamentu00englgoog	la
quintihoratiifl01dacigoog		1799				https://archive.org/details//quintihoratiifl01dacigoog	la
casparisklockii00kloc		1676				https://archive.org/details//casparisklockii00kloc	la
lexiconarabicol00freygoog		1837				https://archive.org/details//lexiconarabicol00freygoog	la
